Review,Sentiment
"Engaging from start to finish!",Positive
"Not worth watching, very slow.",Negative
"Wonderful acting, loved the plot!",Positive
"Just bad, couldn’t enjoy it.",Negative
"Great movie, couldn’t stop watching!",Positive
"Totally boring, couldn’t finish it.",Negative
"Thrilling and suspenseful, loved it!",Positive
"Just didn’t enjoy it at all.",Negative
"Amazing story, well-directed!",Positive
"Really disappointing and dull.",Negative
"An outstanding movie with incredible acting!",Positive
"Totally uninteresting, don’t watch it.",Negative
"A great film, highly recommend it!",Positive
"Boring and way too long.",Negative
"One of the best I've seen in years!",Positive
"Awful movie, waste of time.",Negative
"Excellent movie, kept me hooked!",Positive
"Not worth your time, very dull.",Negative
"Absolutely loved it, must-see!",Positive
"Terrible movie, wouldn’t recommend.",Negative
"A fantastic, heartwarming movie!",Positive
"Awful movie, couldn’t get through it.",Negative
"One of the best thrillers I've seen!",Positive
"Not worth the hype, really bad.",Negative
"Excellent, must-see for any fan!",Positive
"Terrible movie, don’t waste your time.",Negative
"Fantastic film, loved the characters!",Positive
"Really disappointing, didn’t enjoy it.",Negative
"One of the best films I’ve seen this year!",Positive
"Completely unoriginal and dull.",Negative
"Great story, amazing actors!",Positive
"Not enjoyable at all, very boring.",Negative
"Absolutely amazing film, loved it!",Positive
"Very slow, couldn’t finish it.",Negative
"Fantastic plot with great twists!",Positive
"Totally forgettable, waste of time.",Negative
"An absolute masterpiece, loved it!",Positive
"Very disappointing, wouldn’t recommend.",Negative
